Interface                      IP-Address      Status          Protocol Vrf-Name
Loopback0                      10.0.0.13       Up              Up       default 
tunnel-te413                   10.0.0.13       Up              Up       default 
tunnel-te713                   10.0.0.13       Up              Up       default 
MgmtEth0/0/CPU0/0              10.0.90.13      Up              Up       MGMT    
GigabitEthernet0/0/0/0         unassigned      Up              Up       default 
GigabitEthernet0/0/0/0.3113    10.10.13.13     Up              Up       default 
GigabitEthernet0/0/0/0.3131    172.16.131.13   Up              Up       L3B     
GigabitEthernet0/0/0/0.3213    10.12.13.13     Up              Up       default 
GigabitEthernet0/0/0/0.3813    10.8.13.13      Up              Up       default 
GigabitEthernet0/0/0/1         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/2         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/3         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/4         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/5         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/6         unassigned      Shutdown        Down     default
