Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.5       YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3035  10.3.5.5        YES NVRAM  up                    up      
GigabitEthernet2.3512  10.5.12.5       YES NVRAM  up                    up      
GigabitEthernet3       192.168.5.5     YES NVRAM  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback0              10.0.0.5        YES NVRAM  up                    up      
Loopback1              10.0.0.1        YES NVRAM  up                    up
